rank	vertex_index	anomaly_score	coreness	degree
1.0	5038	8.169336395928386	12	1383
2.0	8344	3.666145930429418	2	100
3.0	5022	3.508258578001999	6	181
4.0	5030	3.468048042558106	24	389
5.0	5069	3.3680580574212184	7	186
6.0	647	3.366017874540982	34	539
7.0	3311	2.856470206220483	34	423
8.0	286	2.8478121434773684	42	711
9.0	4746	2.7985642086430413	33	383
10.0	1819	2.7938937629410168	22	262
11.0	2630	2.7725887222397816	31	343
12.0	5033	2.6771112244232826	11	163
13.0	20764	2.6367422160410294	4	73
14.0	1824	2.6282852326333477	42	609
15.0	9137	2.613715916759352	4	72
16.0	4755	2.545371845537935	34	365
17.0	1806	2.5355464483482146	13	163
18.0	5237	2.5068006344227367	34	363
19.0	33806	2.446841424957043	3	50
20.0	2753	2.3764973512808156	34	332
21.0	16201	2.3338806318788397	7	96
22.0	443	2.3272777055844176	41	505
23.0	343	2.2603252837041627	42	537
24.0	543	2.23001440015921	42	521
25.0	127	2.212538812309262	41	481
26.0	26576	2.153185015925385	7	84
27.0	16202	2.137446480585151	7	83
28.0	7954	2.1282317058492675	27	213
29.0	1569	2.1263133108095094	16	142
30.0	984	2.0988916356285854	14	130
31.0	9129	2.0798663806014703	6	70
32.0	16625	2.060987852489064	4	45
33.0	13634	2.0358735671676262	2	24
34.0	35675	2.009190736468769	4	43
35.0	5036	2.0018524319869977	18	141
36.0	6917	1.9684290125906632	32	235
37.0	8557	1.942364617540978	5	50
38.0	5020	1.9371976594249212	9	87
39.0	342	1.93502864886778	39	344
40.0	2186	1.9162340008759164	3	30
41.0	2348	1.9149791811530656	11	98
42.0	939	1.8998190418550465	40	386
43.0	1768	1.8971199848858809	42	449
44.0	2637	1.8642072036841464	34	258
45.0	20805	1.832262198546733	8	74
46.0	14893	1.8171366892314138	4	36
47.0	30172	1.783069856035162	2	18
48.0	9504	1.77854032018588	12	93
50.0	26584	1.7467709004938552	7	62
50.0	25323	1.7467709004938552	7	62
50.0	15198	1.7467709004938552	7	62
52.0	9861	1.7317306294941828	4	33
53.0	4262	1.7029050897666007	4	32
54.0	2718	1.6844796641280873	32	207
55.0	3258	1.6738454663787667	8	66
56.0	1161	1.6725709519629364	35	243
57.0	36135	1.6710937336861011	1	13
58.0	8556	1.6658149236165904	9	72
59.0	26854	1.6531673370577007	7	58
60.0	2323	1.6529230243738393	38	286
61.0	114	1.644805056271391	38	285
62.0	950	1.6369398930547865	17	106
63.0	2947	1.6230204641999695	37	263
64.0	1443	1.614828761068976	40	330
65.0	2666	1.603358866357718	25	140
66.0	6405	1.5990726273938352	10	73
67.0	8315	1.597430153571823	8	62
68.0	36150	1.5971755358619006	1	12
69.0	4621	1.596781967696515	3	21
70.0	1821	1.5931929302497672	38	280
71.0	21580	1.5776522263017183	7	54
