rank	vertex_index	anomaly_score	trussness	degree
1.0	5038	7.67786350067821	9	1383
2.0	5022	4.215187442028303	4	181
3.0	5033	4.003047986973725	4	163
4.0	5069	3.9044266585362104	5	186
5.0	286	3.873801792607948	14	711
6.0	8344	3.8037223920993233	2	100
7.0	5030	3.47093071967683	10	389
8.0	543	3.4307561839036995	13	521
9.0	20764	3.3783156783453885	2	73
10.0	9129	3.3218311841660055	2	70
11.0	140	3.3050535211092527	20	1245
12.0	273	3.1354942159291497	21	1367
13.0	1569	3.1047393830731904	6	142
14.0	343	3.0863291689062176	15	537
15.0	8557	2.9101940124703365	2	50
16.0	342	2.856121834853086	12	344
17.0	9137	2.8202065533323903	4	72
18.0	1806	2.772827699418598	7	163
19.0	33806	2.7400162806926733	3	50
20.0	90	2.7386871705641003	13	366
21.0	1768	2.717528945056754	15	449
22.0	559	2.687847493784691	22	86
23.0	1819	2.681366812713808	10	262
24.0	887	2.6646206431748745	12	310
25.0	2323	2.6397785701802414	11	286
26.0	114	2.6304489550786583	11	285
27.0	4746	2.604637105728779	14	383
28.0	1821	2.577628389838223	11	280
29.0	2348	2.5537012659214087	6	98
30.0	20805	2.5176172599844566	5	74
31.0	128	2.492126897761487	11	264
32.0	929	2.48316902988946	12	295
33.0	1	2.437531914021899	5	70
34.0	301	2.3664049651606947	11	244
35.0	1817	2.366255181597663	12	278
36.0	509	2.3621396237506365	22	111
37.0	9500	2.3614843500127503	3	35
38.0	9135	2.3518117134942225	4	49
39.0	576	2.316442127655472	22	117
40.0	13637	2.31170369721048	2	28
41.0	878	2.2961473025191967	13	297
42.0	4262	2.2739646162846903	3	32
43.0	16625	2.2675322913874476	4	45
44.0	1824	2.2669579153508947	19	609
45.0	939	2.247015241839235	16	386
46.0	1028	2.240709689275958	21	1244
47.0	109	2.208274413522804	15	339
48.0	2737	2.2039570461784894	9	171
49.0	1052	2.197738848368381	21	65
50.0	1202	2.189442436894165	12	246
51.0	95	2.176815705705012	19	597
52.0	13634	2.173607556599616	2	24
53.0	1443	2.1542731901406196	15	330
54.0	8556	2.1333237490735435	6	72
55.0	9752	2.1331499501171134	2	23
56.0	950	2.127897313604052	7	106
57.0	80	2.116685714852207	13	271
58.0	510	2.1109520256480216	22	138
59.0	508	2.1073230249243564	22	137
60.5	13633	2.0798255461529704	4	38
60.5	6084	2.0798255461529704	4	38
62.0	907	2.0765167077725897	21	72
63.0	624	2.0678615942488765	22	147
64.0	82	2.0623471083205365	11	212
65.0	645	2.06165610924662	22	146
66.0	2630	2.053173614859226	16	343
67.0	621	2.049304447259597	22	145
68.5	4272	2.0412372925319335	3	25
68.5	1265	2.0412372925319335	3	25
70.0	1053	2.0407179425139796	11	209
71.5	3174	2.0280765395729183	11	207
71.5	2718	2.0280765395729183	11	207
73.0	5021	2.0035903965106217	3	24
74.5	5027	1.9969187903733463	4	35
74.5	390	1.9969187903733463	4	35
76.0	419	1.9811747340493788	5	48
77.0	151	1.9783454248084675	10	170
78.0	647	1.9771626925594177	19	539
79.0	2088	1.9655670979256126	7	94
80.0	1121	1.960314830257862	20	49
81.0	22587	1.9585616103252468	5	47
82.0	4398	1.9455520469923995	11	190
83.0	15198	1.9450086545939271	6	62
84.0	1161	1.942157799436763	13	243
85.0	1970	1.9367961120282438	5	46
86.0	370	1.925290861852578	21	1099
88.0	30172	1.9208795741749256	2	18
88.0	5028	1.9208795741749256	2	18
88.0	5024	1.9208795741749256	2	18
90.0	5050	1.9185272242994502	5	45
91.0	4876	1.8959661069040674	5	44
92.0	5036	1.8903590494826679	9	141
93.5	35675	1.866891678576497	5	43
93.5	1259	1.866891678576497	5	43
95.5	4904	1.8449663653819046	4	30
95.5	2186	1.8449663653819046	4	30
97.0	1371	1.8423117483908866	17	343
98.0	664	1.8336619608820643	22	173
99.0	504	1.823652833004009	22	177
100.0	9131	1.8128694135122299	2	16
101.0	1139	1.8123787564307907	21	1068
102.0	443	1.8123787564307903	19	505
103.0	2837	1.8120604413179464	4	29
104.0	26576	1.809100944264542	7	84
105.0	1189	1.8011492095778943	21	88
106.0	564	1.7988769369969195	22	181
107.0	3237	1.7981492673268256	18	397
108.0	155	1.7866961672715083	19	497
109.0	9132	1.7772820231394144	4	28
110.0	14862	1.7755213251774693	6	54
111.5	10815	1.7626574666445771	5	39
111.5	9	1.7626574666445771	5	39
113.0	1793	1.7561926382333128	10	147
114.0	15705	1.7507882248817275	3	18
115.0	13410	1.742680303556794	4	27
116.0	923	1.7202123179360074	21	94
117.5	13635	1.709275399236211	4	26
117.5	5070	1.709275399236211	4	26
119.0	4880	1.709265910522201	9	125
120.0	127	1.7047480922384253	19	481
121.0	7428	1.6977305195797792	7	77
122.0	8565	1.6977100179037645	3	17
123.0	200	1.695897521782726	12	181
124.0	7927	1.6886486733042432	6	50
125.0	24812	1.6771436462798057	4	25
